x y z charge scale scaleCoul Type
 0 0 17.9739  28.355  8.50877 0.7 1 1 5
 0 1 19.0347  28.1684  8.93937 -0.35 1 1 6
 0 2 16.913  28.5415  8.07816 -0.35 1 1 6
 1 0 26.9357  19.5083  8.34402 0.7 1 1 5
 1 1 27.9842  19.4287  8.83377 -0.35 1 1 6
 1 2 25.8872  19.5879  7.85426 -0.35 1 1 6
 2 0 2.73204  24.4042  4.11807 0.7 1 1 5
 2 1 1.70602  23.928  3.86089 -0.35 1 1 6
 2 2 3.75806  24.8803  4.37525 -0.35 1 1 6
 3 0 17.4925  19.1824  8.26023 0.7 1 1 5
 3 1 16.6784  19.2615  7.43768 -0.35 1 1 6
 3 2 18.3066  19.1033  9.08279 -0.35 1 1 6
 4 0 0.744002  10.441  8.92365 0.7 1 1 5
 4 1 -0.231609  10.7199  8.36155 -0.35 1 1 6
 4 2 1.71961  10.162  9.48576 -0.35 1 1 6
 5 0 9.65074  29.6704  8.81782 0.7 1 1 5
 5 1 8.74105  29.4871  8.12179 -0.35 1 1 6
 5 2 10.5604  29.8537  9.51385 -0.35 1 1 6
 6 0 7.56861  4.16695  13.4028 0.7 1 1 5
 6 1 6.83792  3.38784  12.9504 -0.35 1 1 6
 6 2 8.2993  4.94606  13.8553 -0.35 1 1 6
 7 0 4.30178  8.94664  -0.114728 0.7 1 1 5
 7 1 5.12718  8.86872  0.69659 -0.35 1 1 6
 7 2 3.47637  9.02456  -0.926045 -0.35 1 1 6
 8 0 20.9096  27.947  0.309349 0.7 1 1 5
 8 1 20.4944  28.9535  -0.0907243 -0.35 1 1 6
 8 2 21.3248  26.9404  0.709423 -0.35 1 1 6
 9 0 20.8758  24.5359  4.24566 0.7 1 1 5
 9 1 19.8535  24.2324  3.78909 -0.35 1 1 6
 9 2 21.8981  24.8393  4.70224 -0.35 1 1 6
 10 0 24.9053  5.46079  12.4459 0.7 1 1 5
 10 1 25.9251  5.39162  12.9943 -0.35 1 1 6
 10 2 23.8854  5.52996  11.8975 -0.35 1 1 6
 11 0 2.69652  14.7527  21.0337 0.7 1 1 5
 11 1 3.40311  15.4836  21.5924 -0.35 1 1 6
 11 2 1.98993  14.0218  20.4751 -0.35 1 1 6
 12 0 0.454032  0.439401  8.86978 0.7 1 1 5
 12 1 -0.690481  0.415776  8.68235 -0.35 1 1 6
 12 2 1.59855  0.463026  9.05721 -0.35 1 1 6
 13 0 12.5031  23.0938  4.38342 0.7 1 1 5
 13 1 13.0004  24.0295  4.85527 -0.35 1 1 6
 13 2 12.0058  22.158  3.91157 -0.35 1 1 6
 14 0 1.43796  9.71236  25.5973 0.7 1 1 5
 14 1 0.490036  10.0198  25.0035 -0.35 1 1 6
 14 2 2.38588  9.40496  26.191 -0.35 1 1 6
 15 0 22.8402  9.26876  16.7242 0.7 1 1 5
 15 1 21.7827  9.69317  16.5071 -0.35 1 1 6
 15 2 23.8977  8.84435  16.9412 -0.35 1 1 6
 16 0 14.8598  10.6843  17.3805 0.7 1 1 5
 16 1 15.6503  10.2123  18.0862 -0.35 1 1 6
 16 2 14.0694  11.1563  16.6748 -0.35 1 1 6
 17 0 2.50026  4.67875  4.13771 0.7 1 1 5
 17 1 3.36627  5.28131  4.61993 -0.35 1 1 6
 17 2 1.63425  4.07618  3.65549 -0.35 1 1 6
 18 0 8.86226  9.31503  8.28175 0.7 1 1 5
 18 1 9.07776  8.20596  8.54465 -0.35 1 1 6
 18 2 8.64675  10.4241  8.01884 -0.35 1 1 6
 19 0 15.906  14.7913  12.6443 0.7 1 1 5
 19 1 16.8099  15.4222  13.0056 -0.35 1 1 6
 19 2 15.0021  14.1604  12.283 -0.35 1 1 6
 20 0 21.7532  23.31  21.255 0.7 1 1 5
 20 1 22.0356  24.2365  21.8932 -0.35 1 1 6
 20 2 21.4708  22.3834  20.6168 -0.35 1 1 6
 21 0 22.1279  27.8524  17.5846 0.7 1 1 5
 21 1 22.7348  28.8307  17.4417 -0.35 1 1 6
 21 2 21.5211  26.8742  17.7274 -0.35 1 1 6
 22 0 4.02958  8.35275  16.9003 0.7 1 1 5
 22 1 3.4156  9.1455  16.3171 -0.35 1 1 6
 22 2 4.64356  7.56  17.4836 -0.35 1 1 6
 23 0 4.43866  18.8021  17.2214 0.7 1 1 5
 23 1 3.6214  19.6065  17.0466 -0.35 1 1 6
 23 2 5.25592  17.9976  17.3962 -0.35 1 1 6
 24 0 6.99119  24.5381  12.8781 0.7 1 1 5
 24 1 7.79237  24.9084  13.6308 -0.35 1 1 6
 24 2 6.19  24.1678  12.1253 -0.35 1 1 6
 25 0 0.718026  -0.770124  25.1113 0.7 1 1 5
 25 1 1.50347  -0.764367  25.9649 -0.35 1 1 6
 25 2 -0.0674213  -0.775882  24.2577 -0.35 1 1 6
 26 0 7.65474  13.7338  12.6485 0.7 1 1 5
 26 1 8.20166  14.7042  12.9723 -0.35 1 1 6
 26 2 7.10783  12.7634  12.3248 -0.35 1 1 6
 27 0 22.3557  18.8988  -0.298061 0.7 1 1 5
 27 1 21.2383  19.149  -0.483149 -0.35 1 1 6
 27 2 23.4732  18.6486  -0.112974 -0.35 1 1 6
 28 0 9.38849  20.3109  9.48398 0.7 1 1 5
 28 1 10.3626  20.1318  10.0879 -0.35 1 1 6
 28 2 8.41442  20.49  8.88009 -0.35 1 1 6
 29 0 10.9326  14.9357  3.66902 0.7 1 1 5
 29 1 11.9607  15.4311  3.87714 -0.35 1 1 6
 29 2 9.90456  14.4404  3.4609 -0.35 1 1 6
 30 0 13.7792  19.9135  0.134369 0.7 1 1 5
 30 1 12.8467  20.4123  -0.342381 -0.35 1 1 6
 30 2 14.7116  19.4146  0.61112 -0.35 1 1 6
 31 0 4.62477  29.5064  0.233196 0.7 1 1 5
 31 1 3.91226  29.0847  -0.579228 -0.35 1 1 6
 31 2 5.33727  29.9282  1.04562 -0.35 1 1 6
 32 0 20.2472  14.1857  4.58875 0.7 1 1 5
 32 1 19.3103  13.8682  3.98295 -0.35 1 1 6
 32 2 21.1841  14.5032  5.19455 -0.35 1 1 6
 33 0 23.1641  19.4288  17.119 0.7 1 1 5
 33 1 22.0666  19.5947  16.7819 -0.35 1 1 6
 33 2 24.2616  19.2628  17.4561 -0.35 1 1 6
 34 0 16.2361  23.2567  13.1331 0.7 1 1 5
 34 1 15.4737  23.5409  12.3063 -0.35 1 1 6
 34 2 16.9985  22.9726  13.96 -0.35 1 1 6
 35 0 12.378  4.31876  21.4157 0.7 1 1 5
 35 1 13.4556  4.17888  21.8217 -0.35 1 1 6
 35 2 11.3004  4.45863  21.0098 -0.35 1 1 6
 36 0 11.3143  1.15938  25.1201 0.7 1 1 5
 36 1 11.3039  2.26427  24.7669 -0.35 1 1 6
 36 2 11.3247  0.0544922  25.4732 -0.35 1 1 6
 37 0 20.5932  5.03599  4.40047 0.7 1 1 5
 37 1 19.7945  5.2834  3.5965 -0.35 1 1 6
 37 2 21.392  4.78857  5.20444 -0.35 1 1 6
 38 0 25.0687  24.4113  12.9766 0.7 1 1 5
 38 1 24.0508  24.42  12.4204 -0.35 1 1 6
 38 2 26.0866  24.4027  13.5329 -0.35 1 1 6
 39 0 19.2497  19.8352  25.8172 0.7 1 1 5
 39 1 20.2075  19.6941  26.4562 -0.35 1 1 6
 39 2 18.2919  19.9764  25.1782 -0.35 1 1 6
 40 0 22.6907  10.2046  0.180871 0.7 1 1 5
 40 1 21.6703  10.4359  -0.319994 -0.35 1 1 6
 40 2 23.7111  9.97339  0.681736 -0.35 1 1 6
 41 0 20.6395  4.90934  21.2123 0.7 1 1 5
 41 1 21.4456  4.54171  21.961 -0.35 1 1 6
 41 2 19.8333  5.27698  20.4636 -0.35 1 1 6
 42 0 2.07509  25.1269  21.8172 0.7 1 1 5
 42 1 1.88222  26.2629  21.9514 -0.35 1 1 6
 42 2 2.26797  23.991  21.6829 -0.35 1 1 6
 43 0 12.0857  24.16  21.622 0.7 1 1 5
 43 1 13.082  24.2261  22.2126 -0.35 1 1 6
